Draft,Pick,Player Name,IsSuccessful,Height,Weight,MP,FG,FGA,3P,3Pa,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,All Star,Starter3
2013,24,Tim Hardaway,0,198,93,3560,527,1239,202,589,276,381,62,440,225,76,33,182,212,1532,0,0
2013,25,Reggie Bullock,0,201,93,2457,358,815,188,486,85,118,156,495,169,87,21,94,121,989,0,0
2013,26,Andre Roberson,1,201,95,2970,382,741,50,143,198,340,309,1045,119,164,150,183,274,1012,0,1
#2013,27,Rudy Gobert,1,216,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
#2013,28,Livio Jean-Charles,0,206,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,29,Archie Goodwin,0,196,91,1048,157,357,17,64,135,212,48,152,88,36,15,101,97,466,0,0
#2013,30,Nemanja Nedovic,0,190,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,Andrew Wiggins,0,203,90,1148,189,422,43,126,176,227,76,205,54,41,34,80,94,597,0,1
2014,2,Jabari Parker,0,203,113,1074,236,499,38,106,160,214,105,306,41,37,43,81,83,670,0,1
2014,3,Joel Embiid,1,213,113,647,107,171,1,5,98,143,65,227,38,25,72,66,94,313,1,0
2014,4,Aaron Gordon,0,206,100,1187,189,382,16,45,76,180,102,303,75,34,39,55,90,470,0,0
#2014,5,Dante Exum,0,198,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,Marcus Smart,0,193,100,2120,314,760,87,295,349,465,94,375,287,188,40,193,183,1064,0,0
2014,7,Julius Randle,0,206,113,1233,196,391,3,18,204,289,139,416,57,20,31,101,91,599,0,0
2014,8,Nik Stauskas,0,198,93,2471,323,692,172,390,242,291,35,221,170,42,20,111,73,1060,0,0
2014,9,Noah Vonleh,0,208,109,794,113,216,16,33,96,134,71,269,18,26,41,64,81,338,0,0
2014,10,Elfrid Payton,0,193,84,3155,501,1032,30,112,394,645,148,508,486,197,51,336,226,1426,0,0
2014,11,Doug McDermott,0,203,102,4569,1141,2075,274,598,594,715,281,1088,194,34,14,321,265,3150,0,0
#2014,12,Dario Saric,0,208,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,13,Zach LaVine,0,196,86,904,127,288,48,128,47,68,18,94,66,33,6,42,73,349,0,0
2014,14,T.J. Warren,0,203,104,2182,528,951,45,143,195,298,187,396,68,105,36,117,174,1296,0,0
2014,15,Adreian Payne,0,208,108,2759,447,850,61,149,277,367,211,735,85,76,141,187,297,1232,0,0
#2014,16,Jusuf Nurkic,0,213,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,17,James Young,0,198,98,1296,183,450,82,235,125,177,41,171,67,30,8,75,83,573,0,0
2014,18,Tyler Ennis,0,190,88,1215,148,360,30,85,114,149,27,115,187,71,6,58,69,440,0,0
2014,19,Gary Harris,1,193,95,2141,345,784,146,388,189,240,67,226,140,108,21,111,141,1025,0,1
#2014,20,Bruno Caboclo,0,206,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,21,Mitch McGary,0,208,116,967,164,279,0,2,39,76,122,312,37,57,34,60,117,367,0,0
2014,22,Jordan Adams,0,196,95,2081,373,798,98,296,287,342,88,319,142,168,17,94,147,1131,0,0
2014,23,Rodney Hood,0,203,93,2200,318,699,118,298,136,176,60,291,139,38,23,84,132,890,0,0
2014,24,Shabazz Napier,0,185,79,4614,595,1447,260,693,509,626,101,576,646,251,30,350,301,1959,0,0
#2014,25,Clint Capela,0,208,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,26,P.J. Hairston,0,198,104,1286,220,567,127,364,140,175,93,228,74,57,20,66,118,707,0,0
#2014,27,Bogdan Bogdanovic,0,198,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,28,C.J. Wilcox,0,196,88,3735,640,1478,301,773,299,356,110,441,214,112,98,178,250,1880,0,0
2014,29,Josh Huestis,0,201,104,3376,392,870,66,207,169,277,292,834,113,67,190,125,230,1019,0,0
